,customerid,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn
5925,1840-biuog,male,no,no,no,20,yes,yes,dsl,no,yes,no,yes,yes,no,one_year,yes,electronic_check,68.7,1416.2,0
4395,5502-rluyv,female,no,yes,yes,69,yes,yes,fiber_optic,no,yes,yes,no,yes,yes,month-to-month,yes,electronic_check,103.95,7446.9,1
1579,9391-eoyli,male,yes,yes,no,12,yes,no,fiber_optic,no,no,no,no,no,yes,month-to-month,yes,electronic_check,80.45,950.2,1
1040,1236-wfcdv,male,yes,no,no,14,yes,no,fiber_optic,no,no,no,no,yes,yes,month-to-month,no,credit_card_(automatic),90.45,1266.1,1
1074,2111-dwyhn,male,no,no,no,1,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,no,mailed_check,21.1,21.1,0
2479,1088-auuzz,male,no,yes,yes,56,yes,yes,dsl,yes,yes,no,yes,no,yes,two_year,yes,credit_card_(automatic),75.85,4261.2,0
6908,1750-cskkm,male,no,no,yes,9,yes,no,dsl,no,no,no,no,yes,no,month-to-month,no,electronic_check,55.35,449.75,1
3888,6086-esgrl,female,no,no,no,1,yes,no,fiber_optic,no,no,no,no,no,yes,month-to-month,no,credit_card_(automatic),80.15,80.15,1
3157,3030-yzadt,male,no,no,no,9,yes,no,dsl,no,no,no,no,no,no,month-to-month,no,mailed_check,44.95,431.0,1
4691,3791-lgqcy,female,yes,yes,no,56,yes,yes,fiber_optic,no,no,yes,no,yes,yes,month-to-month,yes,bank_transfer_(automatic),100.65,5688.05,1
5756,6349-jdhqp,female,no,no,no,53,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,credit_card_(automatic),19.85,1049.6,0
1456,3473-xiiit,female,no,yes,no,16,yes,yes,fiber_optic,no,yes,no,no,yes,yes,month-to-month,yes,electronic_check,100.0,1534.75,1
5961,2049-bafnw,female,no,no,no,1,no,no_phone_service,dsl,no,no,yes,yes,no,no,month-to-month,no,mailed_check,35.9,35.9,0
4579,5650-yliba,male,no,no,no,31,yes,yes,fiber_optic,no,yes,no,no,no,no,month-to-month,yes,electronic_check,81.15,2640.55,0
6938,5996-ebtkm,female,no,yes,yes,67,yes,yes,dsl,no,no,yes,yes,no,yes,two_year,yes,bank_transfer_(automatic),69.9,4615.9,0
3646,9738-qlwtp,male,no,no,no,39,yes,no,fiber_optic,no,no,yes,yes,no,no,one_year,no,electronic_check,81.9,3219.75,0
4702,6008-naixk,male,yes,no,no,54,no,no_phone_service,dsl,no,yes,yes,no,yes,yes,one_year,yes,electronic_check,55.45,2966.95,0
6468,2599-czabp,male,no,yes,no,14,yes,no,dsl,no,no,no,no,no,no,one_year,no,electronic_check,44.6,641.25,0
244,4522-akylr,female,yes,no,no,13,yes,no,dsl,no,yes,yes,no,no,no,month-to-month,yes,electronic_check,54.8,731.3,0
959,5651-ylprd,female,no,yes,yes,32,yes,no,fiber_optic,no,yes,no,no,yes,no,month-to-month,yes,electronic_check,86.1,2723.75,0
2407,8835-vsdse,female,no,yes,no,2,yes,no,fiber_optic,no,no,no,no,no,no,month-to-month,yes,electronic_check,70.7,141.45,1
5828,0402-oamen,female,no,yes,yes,72,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,bank_transfer_(automatic),24.45,1709.1,0
434,6048-njxhx,male,no,yes,no,41,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,yes,electronic_check,19.75,899.45,0
5537,8029-xypwt,male,yes,yes,no,71,yes,yes,fiber_optic,yes,yes,yes,yes,yes,yes,two_year,yes,bank_transfer_(automatic),115.05,8016.6,0
6073,6096-egvtu,female,no,yes,yes,64,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,no,mailed_check,24.9,1595.5,0
4604,8065-bvepf,male,yes,no,no,65,yes,no,fiber_optic,no,yes,yes,no,yes,yes,month-to-month,yes,bank_transfer_(automatic),99.1,6496.15,0
3973,3441-cgzjh,female,no,yes,yes,43,no,no_phone_service,dsl,yes,no,yes,yes,yes,yes,one_year,yes,credit_card_(automatic),60.4,2640.55,0
2879,4550-vbofe,male,yes,yes,no,70,yes,yes,fiber_optic,no,yes,yes,no,yes,yes,month-to-month,yes,electronic_check,102.95,7101.5,1
1751,9436-zbzct,male,no,no,no,14,yes,yes,fiber_optic,no,no,no,yes,yes,no,month-to-month,yes,electronic_check,89.95,1178.4,1
4989,0909-sdhnu,female,no,no,yes,7,no,no_phone_service,dsl,yes,no,no,no,no,no,month-to-month,no,mailed_check,29.8,201.95,0
3044,5692-fptah,female,no,no,no,1,yes,no,dsl,no,no,no,no,no,no,month-to-month,yes,mailed_check,45.4,45.4,1
477,4431-edmiq,female,no,yes,yes,7,yes,no,dsl,yes,yes,yes,yes,yes,no,month-to-month,yes,electronic_check,75.7,554.05,0
711,7929-dmbcv,female,no,yes,no,20,yes,no,fiber_optic,no,no,yes,yes,no,no,month-to-month,yes,mailed_check,81.0,1683.7,0
3746,4806-hipdw,female,no,yes,no,1,yes,no,fiber_optic,no,no,no,no,no,no,month-to-month,yes,electronic_check,68.95,68.95,1
3309,6061-pqhmk,female,no,no,no,25,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,no,credit_card_(automatic),19.9,527.5,0
1797,0839-qnxme,female,no,no,no,30,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,credit_card_(automatic),19.4,578.5,0
495,8205-otchb,male,no,no,no,22,no,no_phone_service,dsl,no,yes,yes,no,no,yes,one_year,yes,bank_transfer_(automatic),43.75,903.6,1
3597,7011-cveuc,male,no,yes,no,25,yes,no,fiber_optic,no,no,no,yes,yes,yes,month-to-month,yes,credit_card_(automatic),95.7,2338.35,0
5196,0786-ivlaw,female,yes,no,no,66,yes,yes,fiber_optic,no,yes,yes,no,yes,yes,one_year,no,bank_transfer_(automatic),108.1,7238.6,0
3842,1194-hvaif,female,no,yes,no,27,yes,yes,fiber_optic,no,no,no,no,yes,yes,month-to-month,no,credit_card_(automatic),95.0,2462.55,0
3939,8945-grkhx,female,no,no,yes,1,yes,no,fiber_optic,no,no,no,no,no,yes,month-to-month,no,electronic_check,78.65,78.65,1
1272,1257-sxuxq,male,no,yes,yes,5,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,no,mailed_check,19.45,86.05,0
4908,3957-lxolk,female,yes,no,no,28,yes,yes,fiber_optic,no,yes,yes,no,yes,yes,month-to-month,yes,electronic_check,106.15,3152.5,1
91,2424-wvhpl,male,yes,no,no,1,yes,no,fiber_optic,no,no,no,yes,no,no,month-to-month,no,electronic_check,74.7,74.7,0
5309,0704-vcumb,female,no,yes,no,61,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,credit_card_(automatic),20.25,1278.8,0
6563,6906-andwj,male,no,yes,yes,15,yes,yes,fiber_optic,no,no,no,no,no,no,month-to-month,yes,bank_transfer_(automatic),74.9,1107.25,1
5194,1902-xbtfb,male,no,no,yes,22,yes,no,fiber_optic,no,yes,yes,no,yes,no,month-to-month,yes,electronic_check,89.4,2001.5,1
563,6103-lianb,male,no,yes,yes,59,yes,yes,fiber_optic,no,no,yes,no,yes,yes,two_year,yes,credit_card_(automatic),99.5,5861.75,0
5570,5982-fpvqn,female,no,yes,yes,37,yes,yes,fiber_optic,no,yes,yes,no,no,yes,month-to-month,yes,electronic_check,95.15,3532.85,0
4434,0577-whmev,female,no,yes,no,16,yes,yes,fiber_optic,yes,yes,yes,no,no,no,month-to-month,no,electronic_check,90.7,1374.9,0
2300,4800-czmpc,female,no,yes,yes,48,yes,yes,fiber_optic,yes,yes,no,no,yes,yes,one_year,yes,credit_card_(automatic),103.25,5037.55,1
2473,6164-hxugh,female,no,yes,yes,6,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,no,mailed_check,19.85,119.3,0
1784,5687-dkdtv,female,no,no,no,4,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,no,mailed_check,20.35,77.5,1
2060,5248-kwlar,male,no,yes,yes,71,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two_year,no,electronic_check,90.35,6325.25,0
1709,3280-mrdof,male,yes,no,no,30,yes,yes,dsl,no,no,yes,yes,yes,no,two_year,yes,credit_card_(automatic),69.1,2093.9,0
123,6497-tilvl,female,no,yes,yes,7,yes,no,dsl,yes,no,no,no,no,no,month-to-month,no,mailed_check,50.7,350.35,0
2982,5266-pfrqk,male,no,yes,yes,52,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,yes,credit_card_(automatic),20.85,1071.6,0
5339,3370-gqeal,male,no,yes,yes,30,yes,yes,fiber_optic,no,no,no,no,yes,no,month-to-month,no,electronic_check,85.45,2509.95,0
839,4625-lamob,male,no,no,no,44,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,credit_card_(automatic),20.4,905.55,0
2010,3074-gqwyx,male,no,no,no,5,yes,yes,fiber_optic,no,no,no,no,no,no,month-to-month,yes,bank_transfer_(automatic),75.9,357.75,1
3607,9987-lutyd,female,no,no,no,13,yes,no,dsl,yes,no,no,yes,no,no,one_year,no,mailed_check,55.15,742.9,0
3678,6473-uluht,male,no,yes,yes,16,yes,yes,dsl,yes,yes,no,yes,yes,yes,month-to-month,no,electronic_check,84.9,1398.25,0
6235,5180-uciiq,male,yes,yes,yes,22,no,no_phone_service,dsl,yes,no,no,no,no,yes,month-to-month,no,mailed_check,40.05,880.2,1
778,3758-ckoql,female,no,yes,no,59,yes,yes,fiber_optic,yes,yes,yes,yes,no,yes,one_year,yes,credit_card_(automatic),107.0,6152.3,0
3210,9055-mojjj,female,no,yes,yes,64,yes,no,dsl,yes,no,no,yes,yes,no,one_year,no,mailed_check,65.8,4068.0,0
1937,0854-uyhzd,female,no,yes,yes,13,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,mailed_check,19.55,265.3,0
4868,2568-oiady,female,no,yes,no,37,yes,yes,fiber_optic,no,no,yes,no,yes,yes,month-to-month,yes,electronic_check,99.5,3762.0,1
857,2207-nhrjk,male,no,no,no,1,yes,no,dsl,no,yes,no,no,no,no,month-to-month,no,electronic_check,50.8,50.8,1
4227,5457-colht,male,no,yes,yes,69,yes,no,dsl,yes,yes,no,yes,yes,yes,two_year,no,bank_transfer_(automatic),80.65,5542.55,0
5347,9788-hngut,male,no,yes,no,72,yes,yes,fiber_optic,yes,yes,yes,yes,yes,yes,two_year,yes,credit_card_(automatic),116.95,8594.4,0
1236,5835-beqeu,male,no,no,no,3,yes,yes,fiber_optic,no,no,no,no,no,no,month-to-month,yes,electronic_check,76.95,228.4,1
726,4950-hkqte,female,no,no,no,22,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,mailed_check,26.25,605.9,0
5740,8882-tlvrw,male,no,yes,yes,69,no,no_phone_service,dsl,yes,no,yes,yes,no,no,two_year,no,mailed_check,39.1,2779.5,0
3512,6814-zpwfq,male,yes,no,no,51,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,no,bank_transfer_(automatic),25.0,1260.7,0
2733,3518-pzxzq,female,no,yes,no,1,yes,no,dsl,no,no,no,no,yes,no,month-to-month,yes,mailed_check,55.3,55.3,0
2874,8347-gdtmp,female,no,yes,no,64,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,credit_card_(automatic),19.45,1225.65,0
2023,4795-ktrth,female,yes,yes,no,5,yes,yes,fiber_optic,no,yes,no,no,no,no,month-to-month,yes,electronic_check,81.0,371.65,1
275,6432-twqlb,male,no,yes,no,5,yes,yes,fiber_optic,no,yes,no,yes,no,no,month-to-month,yes,electronic_check,85.4,401.1,1
3585,5913-inrqv,male,yes,yes,no,34,yes,no,fiber_optic,yes,no,no,yes,yes,no,one_year,no,mailed_check,90.15,3128.8,0
4067,9140-czqzz,female,no,yes,no,68,yes,no,dsl,yes,yes,no,yes,yes,yes,two_year,yes,bank_transfer_(automatic),79.6,5515.8,0
40,8865-tnmnx,male,no,yes,yes,10,yes,no,dsl,no,yes,no,no,no,no,one_year,no,mailed_check,49.55,475.7,0
329,2739-cacdq,female,yes,no,no,17,yes,yes,fiber_optic,no,no,yes,no,no,no,month-to-month,yes,credit_card_(automatic),82.65,1470.05,0
3160,2253-kpmnb,female,no,yes,yes,69,no,no_phone_service,dsl,yes,yes,yes,yes,no,no,two_year,no,bank_transfer_(automatic),46.25,3121.4,0
3357,3891-puqod,female,no,no,yes,1,yes,no,dsl,no,no,yes,no,no,yes,month-to-month,no,electronic_check,59.2,59.2,1
6807,2030-btzro,male,no,yes,yes,6,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,yes,credit_card_(automatic),20.4,107.6,0
6940,2314-tndjq,female,no,yes,yes,72,no,no_phone_service,dsl,yes,yes,yes,yes,no,yes,two_year,no,credit_card_(automatic),55.65,3880.05,0
4381,7481-atqqs,female,yes,no,no,49,yes,yes,fiber_optic,no,no,yes,no,no,yes,month-to-month,yes,credit_card_(automatic),90.85,4515.85,1
796,2040-obmlj,male,no,no,no,31,yes,yes,fiber_optic,no,no,no,yes,no,no,one_year,no,credit_card_(automatic),81.7,2548.65,0
6728,2380-damqp,female,no,yes,no,72,yes,yes,fiber_optic,yes,yes,yes,yes,yes,yes,two_year,no,electronic_check,115.15,8349.7,0
3680,0836-seylu,male,no,yes,no,9,no,no_phone_service,dsl,no,no,no,yes,yes,no,month-to-month,no,mailed_check,40.65,328.95,1
2423,1133-kxcge,female,no,no,no,18,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,no,mailed_check,20.1,407.05,0
4880,1215-exrmo,male,no,yes,no,50,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,mailed_check,20.55,1067.65,0
5162,4801-kfykl,male,no,no,yes,8,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,no,bank_transfer_(automatic),19.45,159.2,0
1865,7064-frrsw,male,yes,no,no,48,yes,yes,fiber_optic,no,yes,no,no,yes,yes,one_year,yes,electronic_check,99.0,4744.35,0
3639,0512-flfdw,female,yes,yes,no,60,yes,yes,fiber_optic,no,no,yes,no,yes,yes,one_year,yes,credit_card_(automatic),100.5,6029.0,0
2954,7410-ytjik,female,no,no,no,7,yes,yes,fiber_optic,no,no,no,no,no,no,month-to-month,no,mailed_check,75.45,480.75,1
4594,4658-hcohw,female,no,yes,yes,21,yes,no,fiber_optic,no,yes,yes,yes,yes,yes,month-to-month,yes,electronic_check,102.8,2110.15,1
4414,5372-fbkbn,female,no,no,yes,21,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,no,mailed_check,20.75,452.2,0
5139,5549-zghfb,male,no,yes,yes,50,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,mailed_check,24.95,1261.45,0
5518,9574-rkjif,male,no,yes,yes,30,yes,yes,fiber_optic,yes,yes,no,no,yes,no,month-to-month,yes,electronic_check,94.4,2838.7,1
4460,0365-gxezs,male,no,yes,no,18,yes,no,fiber_optic,no,no,yes,yes,no,no,month-to-month,no,electronic_check,78.2,1468.75,0
3258,7365-bvcjh,male,no,no,no,1,no,no_phone_service,dsl,no,no,no,no,no,no,month-to-month,yes,electronic_check,24.4,24.4,0
5551,8457-xigkn,male,no,no,no,20,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,yes,credit_card_(automatic),19.6,356.15,0
610,6543-cpzmk,male,no,yes,yes,9,no,no_phone_service,dsl,no,yes,no,no,no,no,month-to-month,yes,electronic_check,29.95,248.95,1
5956,3640-phqxk,female,no,no,no,31,yes,yes,fiber_optic,no,no,yes,no,no,yes,month-to-month,yes,electronic_check,89.9,2806.9,1
7038,6840-resvb,male,no,yes,yes,24,yes,yes,dsl,yes,no,yes,yes,yes,yes,one_year,yes,mailed_check,84.8,1990.5,0
560,6815-abqfq,male,no,yes,no,56,yes,yes,fiber_optic,no,yes,no,yes,yes,yes,one_year,yes,electronic_check,107.25,6033.3,0
3489,0975-uydtx,female,no,yes,no,26,yes,yes,dsl,yes,yes,yes,yes,yes,yes,one_year,yes,credit_card_(automatic),90.1,2312.55,0
6983,6633-syeus,female,no,no,no,23,yes,no,fiber_optic,no,yes,yes,yes,no,no,month-to-month,no,bank_transfer_(automatic),83.2,2032.3,0
1596,7321-vgnku,female,no,yes,no,2,yes,no,fiber_optic,no,no,no,no,no,no,month-to-month,yes,electronic_check,70.35,120.25,0
2495,6188-uxbbr,female,no,yes,no,38,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,yes,credit_card_(automatic),20.25,814.75,0
7026,8775-cebbj,female,no,no,no,9,yes,no,dsl,no,no,no,no,no,no,month-to-month,yes,bank_transfer_(automatic),44.2,403.35,1
